Action ID,Active,Orientation,Start Time,End Time,Last Time
G1A2: nod head,Active,Forward,2021-06-25 14:31:14.210921,2021-06-25 14:31:18.040856,0:00:03.829935
G1A2: nod head,Active,Backward,2021-06-25 14:31:25.623757,2021-06-25 14:31:29.048641,0:00:03.424884
G1A2: nod head,Passive,Forward,2021-06-25 14:31:38.557321,2021-06-25 14:31:41.524793,0:00:02.967472
G1A2: nod head,Passive,Backward,2021-06-25 14:31:48.481026,2021-06-25 14:31:51.398698,0:00:02.917672
G2A2: bow,Active,Forward,2021-06-25 14:32:19.325162,2021-06-25 14:32:24.001296,0:00:04.676134
G2A2: bow,Active,Backward,2021-06-25 14:32:32.081883,2021-06-25 14:32:35.551456,0:00:03.469573
G2A2: bow,Passive,Forward,2021-06-25 14:32:46.249409,2021-06-25 14:32:49.805726,0:00:03.556317
G2A2: bow,Passive,Backward,2021-06-25 14:32:55.160625,2021-06-25 14:32:59.059791,0:00:03.899166
G3A2: shake hands,Active,Forward,2021-06-25 14:33:25.339887,2021-06-25 14:33:28.850485,0:00:03.510598
G3A2: shake hands,Active,Backward,2021-06-25 14:33:35.350798,2021-06-25 14:33:38.528463,0:00:03.177665
G3A2: shake hands,Passive,Forward,2021-06-25 14:33:46.548245,2021-06-25 14:33:49.805034,0:00:03.256789
G3A2: shake hands,Passive,Backward,2021-06-25 14:33:54.377571,2021-06-25 14:33:57.274988,0:00:02.897417
G4A2: rock-paper-scissors,Active,Forward,2021-06-25 14:34:45.111260,2021-06-25 14:34:47.758363,0:00:02.647103
G4A2: rock-paper-scissors,Active,Backward,2021-06-25 14:34:59.622644,2021-06-25 14:35:03.017689,0:00:03.395045
G4A2: rock-paper-scissors,Passive,Forward,2021-06-25 14:35:10.549665,2021-06-25 14:35:13.423079,0:00:02.873414
G4A2: rock-paper-scissors,Passive,Backward,2021-06-25 14:35:19.631863,2021-06-25 14:35:21.318387,0:00:01.686524
G5A2: touch elbows,Active,Forward,2021-06-25 14:35:40.814619,2021-06-25 14:35:43.227301,0:00:02.412682
G5A2: touch elbows,Active,Backward,2021-06-25 14:35:48.814454,2021-06-25 14:35:51.048703,0:00:02.234249
G5A2: touch elbows,Passive,Forward,2021-06-25 14:35:58.006769,2021-06-25 14:35:59.999185,0:00:01.992416
G5A2: touch elbows,Passive,Backward,2021-06-25 14:36:05.364023,2021-06-25 14:36:07.759714,0:00:02.395691
G6A2: wave hand,Active,Forward,2021-06-25 14:36:20.110951,2021-06-25 14:36:22.181784,0:00:02.070833
G6A2: wave hand,Active,Backward,2021-06-25 14:36:28.122599,2021-06-25 14:36:30.399729,0:00:02.277130
G6A2: wave hand,Passive,Forward,2021-06-25 14:36:37.023048,2021-06-25 14:36:38.803497,0:00:01.780449
G6A2: wave hand,Passive,Backward,2021-06-25 14:36:44.822640,2021-06-25 14:36:46.816392,0:00:01.993752
G7A2: fist bumping,Active,Forward,2021-06-25 14:36:59.765326,2021-06-25 14:37:02.218935,0:00:02.453609
G7A2: fist bumping,Active,Backward,2021-06-25 14:37:07.075190,2021-06-25 14:37:08.524732,0:00:01.449542
G7A2: fist bumping,Passive,Forward,2021-06-25 14:37:15.398285,2021-06-25 14:37:17.392403,0:00:01.994118
G7A2: fist bumping,Passive,Backward,2021-06-25 14:37:21.636324,2021-06-25 14:37:23.507002,0:00:01.870678
G8A2: pat on back,Active,Forward,2021-06-25 14:38:06.095899,2021-06-25 14:38:08.008459,0:00:01.912560
G8A2: pat on back,Active,Backward,2021-06-25 14:38:13.031135,2021-06-25 14:38:14.561009,0:00:01.529874
G8A2: pat on back,Passive,Forward,2021-06-25 14:38:24.966788,2021-06-25 14:38:26.571910,0:00:01.605122
G8A2: pat on back,Passive,Backward,2021-06-25 14:38:31.305045,2021-06-25 14:38:32.773638,0:00:01.468593
G9A2: giving object,Active,Forward,2021-06-25 14:38:52.468474,2021-06-25 14:38:54.485128,0:00:02.016654
G9A2: giving object,Active,Backward,2021-06-25 14:39:00.175855,2021-06-25 14:39:02.031887,0:00:01.856032
G9A2: giving object,Passive,Forward,2021-06-25 14:39:08.043637,2021-06-25 14:39:10.259646,0:00:02.216009
G9A2: giving object,Passive,Backward,2021-06-25 14:39:15.116644,2021-06-25 14:39:17.262330,0:00:02.145686
G10A2: exchange object,Active,Forward,2021-06-25 14:39:31.589826,2021-06-25 14:39:34.339331,0:00:02.749505
G10A2: exchange object,Active,Backward,2021-06-25 14:39:38.822193,2021-06-25 14:39:41.067060,0:00:02.244867
G10A2: exchange object,Passive,Forward,2021-06-25 14:39:49.021343,2021-06-25 14:39:51.473109,0:00:02.451766
G10A2: exchange object,Passive,Backward,2021-06-25 14:39:55.501512,2021-06-25 14:39:57.578538,0:00:02.077026
G11A2: clapping; hushing,Active,Forward,2021-06-25 14:40:41.924546,2021-06-25 14:40:44.107954,0:00:02.183408
G11A2: clapping; hushing,Active,Backward,2021-06-25 14:40:49.573125,2021-06-25 14:40:51.277568,0:00:01.704443
G11A2: clapping; hushing,Passive,Forward,2021-06-25 14:40:58.770115,2021-06-25 14:41:00.614580,0:00:01.844465
G11A2: clapping; hushing,Passive,Backward,2021-06-25 14:41:05.181621,2021-06-25 14:41:06.922918,0:00:01.741297
G12A2: drink water; brush teeth,Active,Forward,2021-06-25 14:41:42.730357,2021-06-25 14:41:44.237229,0:00:01.506872
G12A2: drink water; brush teeth,Active,Backward,2021-06-25 14:41:49.430910,2021-06-25 14:41:51.564579,0:00:02.133669
G12A2: drink water; brush teeth,Passive,Forward,2021-06-25 14:42:04.004201,2021-06-25 14:42:05.973801,0:00:01.969600
G12A2: drink water; brush teeth,Passive,Backward,2021-06-25 14:42:10.216119,2021-06-25 14:42:11.941443,0:00:01.725324
G13A2: stand up; jump up,Active,Forward,2021-06-25 14:43:03.912446,2021-06-25 14:43:05.799710,0:00:01.887264
G13A2: stand up; jump up,Active,Backward,2021-06-25 14:43:15.148633,2021-06-25 14:43:16.867661,0:00:01.719028
G13A2: stand up; jump up,Passive,Forward,2021-06-25 14:43:25.704789,2021-06-25 14:43:27.736283,0:00:02.031494
G13A2: stand up; jump up,Passive,Backward,2021-06-25 14:43:33.399773,2021-06-25 14:43:35.277188,0:00:01.877415
G14A2: take off a hat; play a phone,Active,Forward,2021-06-25 14:44:12.636496,2021-06-25 14:44:15.323977,0:00:02.687481
G14A2: take off a hat; play a phone,Active,Backward,2021-06-25 14:44:20.616427,2021-06-25 14:44:22.945392,0:00:02.328965
G14A2: take off a hat; play a phone,Passive,Forward,2021-06-25 14:44:34.280202,2021-06-25 14:44:36.397328,0:00:02.117126
G14A2: take off a hat; play a phone,Passive,Backward,2021-06-25 14:44:41.198834,2021-06-25 14:44:43.350725,0:00:02.151891
G15A2: take a selfie; wipe face,Active,Forward,2021-06-25 14:45:24.782850,2021-06-25 14:45:26.670201,0:00:01.887351
